,filename,prompt,model,dataset,tn,fp,fn,tp,accuracy,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,macro_f1,micro_f1,weighted_f1,support
13,dataset_SXall_11288_prompt_P2EN_binary_v2_model_flan-t5-xl_2024_08_14.csv,P2EN_binary_v2,flan-t5-xl,SXall,9040,1446,600,202,0.82,0.94,0.12,0.86,0.25,0.9,0.16,0.53,0.82,0.85,[10486   802]
20,dataset_SXall_11288_prompt_P2FR_binary_v1_model_flan-t5-large_2024_08_16.csv,P2FR_binary_v1,flan-t5-large,SXall,8509,1963,584,214,0.77,0.94,0.1,0.81,0.27,0.87,0.14,0.51,0.77,0.82,[10472   798]
16,dataset_SXall_11288_prompt_P2FR_binary_v1_model_flan-t5-xxl_2024_08_14.csv,P2FR_binary_v1,flan-t5-xxl,SXall,8637,1849,505,297,0.79,0.94,0.14,0.82,0.37,0.88,0.2,0.54,0.79,0.83,[10486   802]
15,dataset_SXall_11288_prompt_P2FR_binary_v1_model_flan-t5-xl_2024_08_14.csv,P2FR_binary_v1,flan-t5-xl,SXall,10377,109,794,8,0.92,0.93,0.07,0.99,0.01,0.96,0.02,0.49,0.92,0.89,[10486   802]
17,dataset_SXall_11288_prompt_P2FR_binary_v2_model_flan-t5-xl_2024_08_14.csv,P2FR_binary_v2,flan-t5-xl,SXall,10387,99,794,8,0.92,0.93,0.07,0.99,0.01,0.96,0.02,0.49,0.92,0.89,[10486   802]
11,dataset_SXall_11288_prompt_P2FR_binary_v2_model_flan-t5-xxl_2024_08_14.csv,P2FR_binary_v2,flan-t5-xxl,SXall,8567,1919,512,290,0.78,0.94,0.13,0.82,0.36,0.88,0.19,0.53,0.78,0.83,[10486   802]
23,dataset_SXall_11288_prompt_P2FR_binary_v2_model_flan-t5-large_2024_08_16.csv,P2FR_binary_v2,flan-t5-large,SXall,7877,2514,512,278,0.73,0.94,0.1,0.76,0.35,0.84,0.16,0.5,0.73,0.79,[10391   790]
6,dataset_SXall_11288_prompt_P3EN_binary_v2_model_flan-t5-large_2024_08_14.csv,P3EN_binary_v2,flan-t5-large,SXall,7934,2552,489,313,0.73,0.94,0.11,0.76,0.39,0.84,0.17,0.5,0.73,0.79,[10486   802]
1,dataset_SXall_11288_prompt_P3EN_binary_v2_model_flan-t5-xxl_2024_08_14.csv,P3EN_binary_v2,flan-t5-xxl,SXall,9477,1009,588,214,0.86,0.94,0.17,0.9,0.27,0.92,0.21,0.57,0.86,0.87,[10486   802]
12,dataset_SXall_11288_prompt_P3EN_binary_v2_model_flan-t5-xl_2024_08_14.csv,P3EN_binary_v2,flan-t5-xl,SXall,8056,2430,432,370,0.75,0.95,0.13,0.77,0.46,0.85,0.21,0.53,0.75,0.8,[10486   802]
22,dataset_SXall_11288_prompt_P3FR_binary_v2_model_flan-t5-large_2024_08_16.csv,P3FR_binary_v2,flan-t5-large,SXall,10032,444,698,104,0.9,0.93,0.19,0.96,0.13,0.95,0.15,0.55,0.9,0.89,[10476   802]
19,dataset_SXall_11288_prompt_P3FR_binary_v2_model_flan-t5-xxl_2024_08_15.csv,P3FR_binary_v2,flan-t5-xxl,SXall,9025,1461,582,220,0.82,0.94,0.13,0.86,0.27,0.9,0.18,0.54,0.82,0.85,[10486   802]
3,dataset_SXall_11288_prompt_P3FR_binary_v2_model_flan-t5-xl_2024_08_14.csv,P3FR_binary_v2,flan-t5-xl,SXall,10476,9,797,5,0.93,0.93,0.36,1.0,0.01,0.96,0.01,0.49,0.93,0.9,[10485   802]
